GO:0000002,mitochondrial genome maintenance,HP:0000590,Progressive external ophthalmoplegia
GO:0000002,mitochondrial genome maintenance,HP:0003546,Exercise intolerance
GO:0000002,mitochondrial genome maintenance,HP:0003689,Multiple mitochondrial DNA deletions
GO:0000041,transition metal ion transport,HP:0003281,Increased serum ferritin
GO:0000050,urea cycle,HP:0001254,Lethargy
GO:0000050,urea cycle,HP:0001259,Coma
GO:0000050,urea cycle,HP:0001950,Respiratory alkalosis
GO:0000050,urea cycle,HP:0001951,Episodic ammonia intoxication
GO:0000050,urea cycle,HP:0001987,Hyperammonemia
GO:0000050,urea cycle,HP:0002013,Vomiting
GO:0000050,urea cycle,HP:0002038,Protein avoidance
GO:0000050,urea cycle,HP:0002181,Cerebral edema
GO:0000086,G2/M transition of mitotic cell cycle,HP:0000252,Microcephaly
GO:0000226,microtubule cytoskeleton organization,HP:0000012,Urinary urgency
GO:0000226,microtubule cytoskeleton organization,HP:0000246,Sinusitis
GO:0000226,microtubule cytoskeleton organization,HP:0000403,Recurrent otitis media
GO:0000226,microtubule cytoskeleton organization,HP:0001696,Situs inversus totalis
GO:0000226,microtubule cytoskeleton organization,HP:0002110,Bronchiectasis
GO:0000226,microtubule cytoskeleton organization,HP:0003391,Gowers sign
GO:0000226,microtubule cytoskeleton organization,HP:0011108,Recurrent sinusitis
GO:0000226,microtubule cytoskeleton organization,HP:0012263,Immotile cilia
GO:0000226,microtubule cytoskeleton organization,HP:0012265,Ciliary dyskinesia
GO:0000226,microtubule cytoskeleton organization,HP:0200073,Respiratory insufficiency due to defective ciliary clearance
GO:0000226,microtubule cytoskeleton organization,HP:0012384,Rhinitis
GO:0000266,mitochondrial fission,HP:0001284,Areflexia
GO:0000266,mitochondrial fission,HP:0002936,Distal sensory impairment
GO:0000271,polysaccharide biosynthetic process,HP:0001528,Hemihypertrophy
GO:0000271,polysaccharide biosynthetic process,HP:0006765,Chondrosarcoma
GO:0000272,polysaccharide catabolic process,HP:0006568,Increased hepatic glycogen content
GO:0000302,response to reactive oxygen species,HP:0003095,Septic arthritis
GO:0000578,embryonic axis specification,HP:0000149,Ovarian gonadoblastoma
GO:0000959,mitochondrial RNA metabolic process,HP:0002151,Increased serum lactate
GO:0000959,mitochondrial RNA metabolic process,HP:0003128,Lactic acidosis
GO:0001501,skeletal system development,HP:0000006,Autosomal dominant inheritance
GO:0001501,skeletal system development,HP:0000074,Ureteropelvic junction obstruction
GO:0001501,skeletal system development,HP:0000175,Cleft palate
GO:0001501,skeletal system development,HP:0000189,Narrow palate
GO:0001501,skeletal system development,HP:0000243,Trigonocephaly
GO:0001501,skeletal system development,HP:0000272,Malar flattening
GO:0001501,skeletal system development,HP:0000316,Hypertelorism
GO:0001501,skeletal system development,HP:0000405,Conductive hearing impairment
GO:0001501,skeletal system development,HP:0000501,Glaucoma
GO:0001501,skeletal system development,HP:0000668,Hypodontia
GO:0001501,skeletal system development,HP:0000703,Dentinogenesis imperfecta
GO:0001501,skeletal system development,HP:0000926,Platyspondyly
GO:0001501,skeletal system development,HP:0001083,Ectopia lentis
GO:0001501,skeletal system development,HP:0001156,Brachydactyly syndrome
GO:0001501,skeletal system development,HP:0002408,Cerebral arteriovenous malformation
GO:0001501,skeletal system development,HP:0002676,Cloverleaf skull
GO:0001501,skeletal system development,HP:0002677,Small foramen magnum
GO:0001501,skeletal system development,HP:0002681,Deformed sella turcica
GO:0001501,skeletal system development,HP:0002857,Genu valgum
GO:0001501,skeletal system development,HP:0003319,Abnormality of the cervical spine
GO:0001501,skeletal system development,HP:0003762,Uterus didelphys
GO:0001501,skeletal system development,HP:0004322,Short stature
GO:0001501,skeletal system development,HP:0004635,Cervical C5/C6 vertebrae fusion
GO:0001501,skeletal system development,HP:0005116,Arterial tortuosity
GO:0001501,skeletal system development,HP:0005217,Duplication of internal organs
GO:0001501,skeletal system development,HP:0005280,Depressed nasal bridge
GO:0001501,skeletal system development,HP:0005474,Decreased calvarial ossification
GO:0001501,skeletal system development,HP:0005731,Cortical irregularity
GO:0001501,skeletal system development,HP:0005736,Short tibia
GO:0001501,skeletal system development,HP:0005871,Metaphyseal chondrodysplasia
GO:0001501,skeletal system development,HP:0008368,Tarsal synostosis
GO:0001501,skeletal system development,HP:0008873,Disproportionate short-limb short stature
GO:0001501,skeletal system development,HP:0010049,Short metacarpal
GO:0001501,skeletal system development,HP:0011800,Midface retrusion
GO:0001501,skeletal system development,HP:0012385,Camptodactyly
GO:0001502,cartilage condensation,HP:0000926,Platyspondyly
GO:0001503,ossification,HP:0000006,Autosomal dominant inheritance
GO:0001503,ossification,HP:0000175,Cleft palate
GO:0001503,ossification,HP:0000272,Malar flattening
GO:0001503,ossification,HP:0000316,Hypertelorism
GO:0001503,ossification,HP:0000405,Conductive hearing impairment
GO:0001503,ossification,HP:0000501,Glaucoma
GO:0001503,ossification,HP:0000668,Hypodontia
GO:0001503,ossification,HP:0000703,Dentinogenesis imperfecta
GO:0001503,ossification,HP:0000926,Platyspondyly
GO:0001503,ossification,HP:0002007,Frontal bossing
GO:0001503,ossification,HP:0002677,Small foramen magnum
GO:0001503,ossification,HP:0003015,Flared metaphysis
GO:0001503,ossification,HP:0003319,Abnormality of the cervical spine
GO:0001503,ossification,HP:0005116,Arterial tortuosity
GO:0001503,ossification,HP:0005217,Duplication of internal organs
GO:0001503,ossification,HP:0005280,Depressed nasal bridge
GO:0001503,ossification,HP:0005465,Facial hyperostosis
GO:0001503,ossification,HP:0005871,Metaphyseal chondrodysplasia
GO:0001503,ossification,HP:0006765,Chondrosarcoma
GO:0001503,ossification,HP:0011800,Midface retrusion
GO:0001505,regulation of neurotransmitter levels,HP:0001300,Parkinsonism
